Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
80,34,0.49,218,193,16
79,33,0.48,237,205,15
108,49,0.66,193,222,1
102,47,0.62,191,205,17
97,45,0.59,207,242,23
83,38,0.51,231,214,25
71,32,0.43,266,231,26
104,47,0.63,222,262,13
94,43,0.57,247,261,22
94,41,0.57,222,212,2
90,39,0.55,242,255,18
83,36,0.51,260,231,24
102,47,0.62,216,247,8
99,46,0.6,197,206,5
97,42,0.59,199,213,12
95,42,0.58,233,248,9
79,35,0.48,243,194,30
98,44,0.6,218,223,19
95,44,0.58,219,231,28
94,42,0.57,227,229,10
88,41,0.54,251,235,21
88,39,0.54,215,213,7
94,43,0.57,231,242,4
92,43,0.56,249,252,11
85,38,0.52,226,216,14
76,34,0.46,272,216,27
71,31,0.43,267,223,29
113,53,0.69,242,308,18
105,48,0.64,222,288,22
91,40,0.55,269,258,24
90,42,0.55,256,245,13
76,35,0.46,289,219,2
113,50,0.69,199,254,3
110,51,0.67,212,272,20
81,34,0.49,254,214,15
73,33,0.45,249,201,16
71,31,0.43,258,201,6
110,48,0.67,208,258,17
107,51,0.65,199,258,1
107,50,0.65,197,226,23
68,27,0.41,283,227,26
67,31,0.41,284,216,25
107,49,0.65,201,216,5
105,47,0.64,246,277,8
94,42,0.57,216,242,12
92,40,0.56,240,248,30
56,22,0.34,303,214,9
105,49,0.64,201,222,7
104,48,0.63,191,235,19
96,43,0.59,226,258,10
95,44,0.58,251,272,28
71,32,0.43,248,195,21
97,43,0.59,245,246,27
93,44,0.57,261,253,29
88,40,0.54,253,241,11
86,35,0.52,257,247,14
70,28,0.43,286,235,4
124,58,0.76,209,305,3
106,49,0.65,227,259,20
74,35,0.45,279,223,16
65,26,0.4,285,211,6
57,21,0.35,292,197,15
113,52,0.69,211,314,22
110,52,0.67,239,281,18
93,42,0.57,247,243,13
90,41,0.55,270,257,24
74,29,0.45,266,230,2
112,53,0.68,218,265,23
99,44,0.6,242,266,1
98,43,0.6,229,254,17
89,42,0.54,270,249,26
81,38,0.49,271,246,25
112,52,0.68,260,294,11
92,43,0.56,260,252,29
90,41,0.55,275,281,27
85,37,0.52,257,240,14
70,29,0.43,306,237,4
103,46,0.63,200,218,10
95,43,0.58,257,283,28
95,41,0.58,251,256,21
92,42,0.56,255,256,7
84,38,0.51,215,231,19
101,46,0.62,229,242,5
101,45,0.62,259,267,9
100,44,0.61,215,257,12
78,36,0.48,278,230,30
58,22,0.35,316,244,8
113,53,0.69,242,308,18
105,48,0.64,222,288,13
91,40,0.55,269,258,24
90,42,0.55,256,245,3
76,35,0.46,289,219,15
113,50,0.69,199,254,1
110,51,0.67,212,272,17
81,34,0.49,254,214,27
73,33,0.45,249,201,25
71,31,0.43,258,201,20
110,48,0.67,208,258,5
107,51,0.65,199,258,2
107,50,0.65,197,226,8
68,27,0.41,283,227,29
67,31,0.41,284,216,23
107,49,0.65,201,216,6
105,47,0.64,246,277,4
94,42,0.57,216,242,9
92,40,0.56,240,248,26
56,22,0.34,303,214,11
105,49,0.64,201,222,21
104,48,0.63,191,235,7
96,43,0.59,226,258,14
95,44,0.58,251,272,10
71,32,0.43,248,195,19
97,43,0.59,245,246,28
93,44,0.57,261,253,30
88,40,0.54,253,241,16
86,35,0.52,257,247,22
70,28,0.43,286,235,12
124,58,0.76,209,305,1
106,49,0.65,227,259,17
74,35,0.45,279,223,25
65,26,0.4,285,211,20
57,21,0.35,292,197,27
113,52,0.69,211,314,13
110,52,0.67,239,281,18
93,42,0.57,247,243,3
90,41,0.55,270,257,24
74,29,0.45,266,230,15
112,53,0.68,218,265,8
99,44,0.6,242,266,2
98,43,0.6,229,254,5
89,42,0.54,270,249,29
81,38,0.49,271,246,23
112,52,0.68,260,294,16
92,43,0.56,260,252,30
90,41,0.55,275,281,28
85,37,0.52,257,240,22
70,29,0.43,306,237,12
103,46,0.63,200,218,14
95,43,0.58,257,283,10
95,41,0.58,251,256,19
92,42,0.56,255,256,21
84,38,0.51,215,231,7
101,46,0.62,229,242,6
101,45,0.62,259,267,11
100,44,0.61,215,257,9
78,36,0.48,278,230,26
58,22,0.35,316,244,4
124,58,0.76,209,305,1
106,49,0.65,227,259,17
74,35,0.45,279,223,25
65,26,0.4,285,211,20
57,21,0.35,292,197,27
113,52,0.69,211,314,13
110,52,0.67,239,281,18
93,42,0.57,247,243,3
90,41,0.55,270,257,24
74,29,0.45,266,230,15
112,53,0.68,218,265,8
99,44,0.6,242,266,2
98,43,0.6,229,254,5
89,42,0.54,270,249,29
81,38,0.49,271,246,23
112,52,0.68,260,294,16
92,43,0.56,260,252,30
90,41,0.55,275,281,28
85,37,0.52,257,240,22
70,29,0.43,306,237,12
103,46,0.63,200,218,14
95,43,0.58,257,283,10
95,41,0.58,251,256,19
92,42,0.56,255,256,21
84,38,0.51,215,231,7
101,46,0.62,229,242,6
101,45,0.62,259,267,11
100,44,0.61,215,257,9
78,36,0.48,278,230,26
58,22,0.35,316,244,4
124,58,0.76,209,305,2
106,49,0.65,227,259,3
74,35,0.45,279,223,24
65,26,0.4,285,211,26
57,21,0.35,292,197,22
113,52,0.69,211,314,9
110,52,0.67,239,281,1
93,42,0.57,247,243,19
90,41,0.55,270,257,18
74,29,0.45,266,230,23
112,53,0.68,218,265,6
99,44,0.6,242,266,5
98,43,0.6,229,254,4
89,42,0.54,270,249,28
81,38,0.49,271,246,29
112,52,0.68,260,294,20
92,43,0.56,260,252,16
90,41,0.55,275,281,12
85,37,0.52,257,240,21
70,29,0.43,306,237,27
103,46,0.63,200,218,13
95,43,0.58,257,283,14
95,41,0.58,251,256,25
92,42,0.56,255,256,8
84,38,0.51,215,231,11
101,46,0.62,229,242,7
101,45,0.62,259,267,30
100,44,0.61,215,257,15
78,36,0.48,278,230,17
58,22,0.35,316,244,10
124,58,0.76,209,305,2
106,49,0.65,227,259,3
74,35,0.45,279,223,24
65,26,0.4,285,211,26
57,21,0.35,292,197,22
113,52,0.69,211,314,9
110,52,0.67,239,281,1
93,42,0.57,247,243,19
90,41,0.55,270,257,18
74,29,0.45,266,230,23
112,53,0.68,218,265,6
99,44,0.6,242,266,5
98,43,0.6,229,254,4
89,42,0.54,270,249,28
81,38,0.49,271,246,29
112,52,0.68,260,294,20
92,43,0.56,260,252,16
90,41,0.55,275,281,12
85,37,0.52,257,240,21
70,29,0.43,306,237,27
103,46,0.63,200,218,13
95,43,0.58,257,283,14
95,41,0.58,251,256,25
92,42,0.56,255,256,8
84,38,0.51,215,231,11
101,46,0.62,229,242,7
101,45,0.62,259,267,30
100,44,0.61,215,257,15
78,36,0.48,278,230,17
58,22,0.35,316,244,10
109,48,0.66,189,255,2
91,39,0.55,198,191,22
91,38,0.55,217,216,3
62,25,0.38,238,177,24
59,20,0.36,259,188,26
106,46,0.65,192,245,16
78,33,0.48,243,214,12
76,28,0.46,209,172,20
75,28,0.46,221,188,21
59,23,0.36,253,186,27
104,43,0.63,183,219,5
97,41,0.59,175,194,6
81,28,0.49,217,205,28
76,29,0.46,213,184,4
68,22,0.41,245,188,29
104,41,0.63,188,209,23
103,45,0.63,204,242,18
102,43,0.62,189,262,9
93,41,0.57,192,208,19
85,37,0.52,221,220,1
101,43,0.62,194,235,8
100,40,0.61,198,236,14
94,42,0.57,176,200,13
89,36,0.54,208,221,25
83,30,0.51,183,188,11
101,40,0.62,186,229,30
100,43,0.61,164,213,7
91,38,0.55,210,237,17
69,27,0.42,250,206,15
58,23,0.35,303,190,10
124,58,0.76,209,305,1
106,49,0.65,227,259,6
74,35,0.45,279,223,25
65,26,0.4,285,211,28
57,21,0.35,292,197,30
113,52,0.69,211,314,2
110,52,0.67,239,281,5
93,42,0.57,247,243,15
90,41,0.55,270,257,18
74,29,0.45,266,230,26
112,53,0.68,218,265,3
99,44,0.6,242,266,11
98,43,0.6,229,254,12
89,42,0.54,270,249,20
81,38,0.49,271,246,23
112,52,0.68,260,294,4
92,43,0.56,260,252,16
90,41,0.55,275,281,19
85,37,0.52,257,240,21
70,29,0.43,306,237,27
103,46,0.63,200,218,7
95,43,0.58,257,283,13
95,41,0.58,251,256,14
92,42,0.56,255,256,17
84,38,0.51,215,231,22
101,46,0.62,229,242,8
101,45,0.62,259,267,9
100,44,0.61,215,257,10
78,36,0.48,278,230,24
58,22,0.35,316,244,29
109,48,0.66,189,255,1
91,39,0.55,198,191,30
91,38,0.55,217,216,6
62,25,0.38,238,177,25
59,20,0.36,259,188,28
106,46,0.65,192,245,16
78,33,0.48,243,214,19
76,28,0.46,209,172,4
75,28,0.46,221,188,21
59,23,0.36,253,186,27
104,43,0.63,183,219,11
97,41,0.59,175,194,3
81,28,0.49,217,205,20
76,29,0.46,213,184,12
68,22,0.41,245,188,23
104,41,0.63,188,209,26
103,45,0.63,204,242,18
102,43,0.62,189,262,2
93,41,0.57,192,208,15
85,37,0.52,221,220,5
101,43,0.62,194,235,17
100,40,0.61,198,236,13
94,42,0.57,176,200,7
89,36,0.54,208,221,14
83,30,0.51,183,188,22
101,40,0.62,186,229,9
100,43,0.61,164,213,8
91,38,0.55,210,237,24
69,27,0.42,250,206,10
58,23,0.35,303,190,29
113,52,0.69,182,263,2
98,44,0.6,208,236,18
87,36,0.53,237,245,26
77,30,0.47,234,206,15
72,27,0.44,219,190,5
111,46,0.68,169,245,3
95,40,0.58,193,203,12
79,33,0.48,221,203,20
78,31,0.48,230,204,23
73,28,0.45,239,214,11
110,48,0.67,203,269,1
99,41,0.6,222,253,30
79,30,0.48,226,207,28
74,27,0.45,206,183,6
69,29,0.42,263,213,25
108,46,0.66,166,216,8
107,45,0.65,166,211,9
83,35,0.51,231,224,24
78,32,0.48,231,210,10
65,27,0.4,255,189,29
105,42,0.64,194,251,13
104,45,0.63,208,264,17
95,42,0.58,178,198,22
92,36,0.56,230,231,14
75,29,0.46,228,186,7
93,36,0.57,210,219,16
92,39,0.56,220,224,27
74,31,0.45,284,226,19
70,24,0.43,237,176,21
61,22,0.37,240,171,4
109,48,0.66,189,255,1
91,39,0.55,198,191,30
91,38,0.55,217,216,6
62,25,0.38,238,177,25
59,20,0.36,259,188,28
106,46,0.65,192,245,16
78,33,0.48,243,214,19
76,28,0.46,209,172,4
75,28,0.46,221,188,21
59,23,0.36,253,186,27
104,43,0.63,183,219,11
97,41,0.59,175,194,3
81,28,0.49,217,205,20
76,29,0.46,213,184,12
68,22,0.41,245,188,23
104,41,0.63,188,209,26
103,45,0.63,204,242,18
102,43,0.62,189,262,2
93,41,0.57,192,208,15
85,37,0.52,221,220,5
101,43,0.62,194,235,17
100,40,0.61,198,236,13
94,42,0.57,176,200,7
89,36,0.54,208,221,14
83,30,0.51,183,188,22
101,40,0.62,186,229,9
100,43,0.61,164,213,8
91,38,0.55,210,237,24
69,27,0.42,250,206,10
58,23,0.35,303,190,29
113,52,0.69,182,263,2
98,44,0.6,208,236,18
87,36,0.53,237,245,26
77,30,0.47,234,206,15
72,27,0.44,219,190,5
111,46,0.68,169,245,3
95,40,0.58,193,203,12
79,33,0.48,221,203,20
78,31,0.48,230,204,23
73,28,0.45,239,214,11
110,48,0.67,203,269,1
99,41,0.6,222,253,30
79,30,0.48,226,207,28
74,27,0.45,206,183,6
69,29,0.42,263,213,25
108,46,0.66,166,216,8
107,45,0.65,166,211,9
83,35,0.51,231,224,24
78,32,0.48,231,210,10
65,27,0.4,255,189,29
105,42,0.64,194,251,13
104,45,0.63,208,264,17
95,42,0.58,178,198,22
92,36,0.56,230,231,14
75,29,0.46,228,186,7
93,36,0.57,210,219,16
92,39,0.56,220,224,27
74,31,0.45,284,226,19
70,24,0.43,237,176,21
61,22,0.37,240,171,4
116,51,0.71,187,251,1
98,43,0.6,188,227,30
96,41,0.59,207,216,28
69,28,0.42,230,196,6
57,22,0.35,255,164,25
101,43,0.62,201,236,26
100,43,0.61,207,249,18
94,39,0.57,208,243,2
87,36,0.53,209,207,15
82,35,0.5,200,213,5
99,45,0.6,169,212,13
94,42,0.57,211,254,17
92,38,0.56,182,205,14
79,32,0.48,220,201,7
73,26,0.45,238,195,22
99,44,0.6,199,248,11
95,40,0.58,210,228,23
95,40,0.58,190,214,20
90,36,0.55,213,215,3
69,29,0.42,198,175,12
97,42,0.59,192,234,9
96,42,0.59,220,239,24
95,41,0.58,187,205,8
80,36,0.49,258,227,10
69,28,0.42,249,198,29
91,35,0.55,217,217,4
85,36,0.52,240,228,27
69,27,0.42,219,178,16
60,22,0.37,250,180,21
54,19,0.33,288,187,19
113,52,0.69,182,263,6
98,44,0.6,208,236,5
87,36,0.53,237,245,4
77,30,0.47,234,206,13
72,27,0.44,219,190,18
111,46,0.68,169,245,11
95,40,0.58,193,203,22
79,33,0.48,221,203,20
78,31,0.48,230,204,26
73,28,0.45,239,214,3
110,48,0.67,203,269,1
99,41,0.6,222,253,14
79,30,0.48,226,207,29
74,27,0.45,206,183,16
69,29,0.42,263,213,27
108,46,0.66,166,216,9
107,45,0.65,166,211,8
83,35,0.51,231,224,15
78,32,0.48,231,210,25
65,27,0.4,255,189,30
105,42,0.64,194,251,10
104,45,0.63,208,264,7
95,42,0.58,178,198,19
92,36,0.56,230,231,17
75,29,0.46,228,186,12
93,36,0.57,210,219,2
92,39,0.56,220,224,28
74,31,0.45,284,226,21
70,24,0.43,237,176,24
61,22,0.37,240,171,23
116,51,0.71,187,251,1
98,43,0.6,188,227,14
96,41,0.59,207,216,29
69,28,0.42,230,196,16
57,22,0.35,255,164,27
101,43,0.62,201,236,4
100,43,0.61,207,249,5
94,39,0.57,208,243,6
87,36,0.53,209,207,13
82,35,0.5,200,213,18
99,45,0.6,169,212,10
94,42,0.57,211,254,7
92,38,0.56,182,205,17
79,32,0.48,220,201,12
73,26,0.45,238,195,19
99,44,0.6,199,248,3
95,40,0.58,210,228,26
95,40,0.58,190,214,20
90,36,0.55,213,215,11
69,29,0.42,198,175,22
97,42,0.59,192,234,8
96,42,0.59,220,239,15
95,41,0.58,187,205,9
80,36,0.49,258,227,25
69,28,0.42,249,198,30
91,35,0.55,217,217,23
85,36,0.52,240,228,28
69,27,0.42,219,178,2
60,22,0.37,250,180,24
54,19,0.33,288,187,21
118,52,0.72,192,270,10
93,39,0.57,222,243,17
90,36,0.55,238,239,7
73,27,0.45,236,197,12
68,25,0.41,210,168,19
111,49,0.68,202,253,1
103,43,0.63,195,249,14
80,34,0.49,200,186,16
71,29,0.43,246,210,29
71,28,0.43,233,190,27
111,48,0.68,195,295,9
100,43,0.61,207,240,8
96,42,0.59,256,281,30
72,33,0.44,290,250,25
52,21,0.32,268,185,15
109,48,0.66,205,274,6
98,46,0.6,184,218,18
90,37,0.55,207,232,5
88,36,0.54,249,227,4
70,28,0.43,232,206,13
106,48,0.65,187,241,11
95,40,0.58,192,217,3
92,38,0.56,228,252,20
90,35,0.55,212,214,26
66,25,0.4,245,188,22
96,41,0.59,211,233,28
88,38,0.54,225,212,23
66,22,0.4,246,200,24
60,23,0.37,289,211,21
59,24,0.36,280,201,2
116,51,0.71,187,251,3
98,43,0.6,188,227,8
96,41,0.59,207,216,18
69,28,0.42,230,196,24
57,22,0.35,255,164,28
101,43,0.62,201,236,15
100,43,0.61,207,249,9
94,39,0.57,208,243,1
87,36,0.53,209,207,21
82,35,0.5,200,213,26
99,45,0.6,169,212,6
94,42,0.57,211,254,7
92,38,0.56,182,205,14
79,32,0.48,220,201,22
73,26,0.45,238,195,10
99,44,0.6,199,248,25
95,40,0.58,210,228,20
95,40,0.58,190,214,17
90,36,0.55,213,215,2
69,29,0.42,198,175,11
97,42,0.59,192,234,5
96,42,0.59,220,239,16
95,41,0.58,187,205,4
80,36,0.49,258,227,19
69,28,0.42,249,198,29
91,35,0.55,217,217,30
85,36,0.52,240,228,13
69,27,0.42,219,178,12
60,22,0.37,250,180,27
54,19,0.33,288,187,23
118,52,0.72,192,270,6
93,39,0.57,222,243,14
90,36,0.55,238,239,7
73,27,0.45,236,197,22
68,25,0.41,210,168,10
111,49,0.68,202,253,3
103,43,0.63,195,249,8
80,34,0.49,200,186,24
71,29,0.43,246,210,18
71,28,0.43,233,190,28
111,48,0.68,195,295,4
100,43,0.61,207,240,5
96,42,0.59,256,281,29
72,33,0.44,290,250,19
52,21,0.32,268,185,16
109,48,0.66,205,274,1
98,46,0.6,184,218,26
90,37,0.55,207,232,9
88,36,0.54,249,227,15
70,28,0.43,232,206,21
106,48,0.65,187,241,2
95,40,0.58,192,217,25
92,38,0.56,228,252,17
90,35,0.55,212,214,20
66,25,0.4,245,188,11
96,41,0.59,211,233,13
88,38,0.54,225,212,30
66,22,0.4,246,200,27
60,23,0.37,289,211,23
59,24,0.36,280,201,12
114,51,0.7,165,248,8
108,48,0.66,210,278,3
78,33,0.48,245,242,18
70,28,0.43,240,199,24
105,45,0.64,179,237,5
103,45,0.63,203,251,4
88,37,0.54,236,241,29
73,29,0.45,246,218,19
58,24,0.35,275,194,16
102,44,0.62,194,227,13
98,43,0.6,209,244,27
84,37,0.51,216,217,30
54,19,0.33,310,204,12
39,14,0.24,313,170,23
102,43,0.62,184,211,2
94,39,0.57,228,245,17
90,39,0.55,228,232,20
87,35,0.53,214,225,25
83,34,0.51,227,217,11
100,45,0.61,222,246,9
95,41,0.58,210,244,1
85,35,0.52,204,213,26
83,35,0.51,194,196,21
73,24,0.45,248,210,15
96,42,0.59,201,233,6
88,32,0.54,212,226,14
84,30,0.51,237,227,7
77,31,0.47,256,211,22
