Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
82,38,0.5,236,221,28
81,35,0.49,222,201,31
69,29,0.42,246,198,7
109,50,0.66,230,267,19
107,49,0.65,201,224,18
103,47,0.63,209,235,25
96,41,0.59,215,228,1
87,38,0.53,206,216,8
82,39,0.5,240,216,17
78,35,0.48,239,215,2
103,46,0.63,192,218,9
102,48,0.62,195,225,12
98,46,0.6,210,241,11
78,35,0.48,245,209,29
77,35,0.47,260,231,20
75,31,0.46,243,191,26
70,31,0.43,245,203,23
113,53,0.69,192,252,24
101,45,0.62,203,242,6
101,47,0.62,230,252,22
98,43,0.6,210,221,10
89,42,0.54,250,236,14
84,33,0.51,234,215,13
78,32,0.48,216,181,15
71,30,0.43,226,188,21
110,50,0.67,189,221,28
108,50,0.66,211,262,3
100,43,0.61,221,235,27
99,43,0.6,215,238,30
96,41,0.59,211,213,4
91,38,0.55,223,206,16
68,30,0.41,262,211,7
54,23,0.33,274,161,31
109,51,0.66,201,248,18
104,47,0.63,208,232,1
102,48,0.62,189,229,25
100,46,0.61,201,231,8
99,43,0.6,210,230,2
92,41,0.56,260,261,19
90,39,0.55,227,219,17
109,51,0.66,226,236,9
101,48,0.62,222,242,26
97,45,0.59,216,241,20
95,40,0.58,205,220,12
89,40,0.54,232,228,11
62,24,0.38,283,198,23
56,24,0.34,272,170,29
120,56,0.73,193,252,1
104,48,0.63,203,245,2
101,46,0.62,217,236,9
100,45,0.61,216,232,17
96,41,0.59,218,214,19
86,35,0.52,226,198,21
84,38,0.51,208,184,27
76,34,0.46,252,219,4
103,47,0.63,203,239,23
97,46,0.59,201,227,18
93,41,0.57,224,211,25
93,42,0.57,230,240,13
85,38,0.52,247,236,12
82,38,0.5,236,221,7
81,35,0.49,222,201,26
69,29,0.42,246,198,14
109,50,0.66,230,267,24
107,49,0.65,201,224,10
103,47,0.63,209,235,3
96,41,0.59,215,228,16
87,38,0.53,206,216,5
82,39,0.5,240,216,30
78,35,0.48,239,215,20
103,46,0.63,192,218,6
102,48,0.62,195,225,22
98,46,0.6,210,241,11
78,35,0.48,245,209,28
77,35,0.47,260,231,15
75,31,0.46,243,191,29
70,31,0.43,245,203,8
113,53,0.69,192,252,9
101,45,0.62,203,242,1
101,47,0.62,230,252,17
98,43,0.6,210,221,2
89,42,0.54,250,236,4
84,33,0.51,234,215,19
78,32,0.48,216,181,27
71,30,0.43,226,188,21
110,50,0.67,189,221,7
108,50,0.66,211,262,18
100,43,0.61,221,235,25
99,43,0.6,215,238,12
96,41,0.59,211,213,13
91,38,0.55,223,206,23
68,30,0.41,262,211,14
54,23,0.33,274,161,26
109,51,0.66,201,248,10
104,47,0.63,208,232,16
102,48,0.62,189,229,3
100,46,0.61,201,231,5
99,43,0.6,210,230,20
92,41,0.56,260,261,24
90,39,0.55,227,219,30
109,51,0.66,226,236,6
101,48,0.62,222,242,29
97,45,0.59,216,241,15
95,40,0.58,205,220,22
89,40,0.54,232,228,11
62,24,0.38,283,198,8
56,24,0.34,272,170,28
109,51,0.66,207,249,2
96,45,0.59,193,218,9
94,42,0.57,235,236,19
93,43,0.57,216,231,4
90,38,0.55,240,235,1
88,35,0.54,208,197,27
83,36,0.51,230,207,21
79,34,0.48,267,225,17
117,54,0.71,177,261,13
101,46,0.62,215,240,18
100,46,0.61,204,215,7
93,39,0.57,230,222,25
88,37,0.54,265,236,12
84,38,0.51,256,231,14
66,29,0.4,268,196,23
52,21,0.32,248,157,26
112,52,0.68,220,250,30
111,52,0.68,191,248,10
107,46,0.65,220,267,3
98,43,0.6,206,207,5
91,40,0.55,228,235,24
88,38,0.54,242,216,16
84,37,0.51,237,227,20
116,54,0.71,209,266,6
111,51,0.68,200,249,11
100,46,0.61,174,206,22
83,36,0.51,223,196,29
77,35,0.47,241,209,15
67,29,0.41,270,203,8
113,53,0.69,192,252,9
101,45,0.62,203,242,1
101,47,0.62,230,252,10
98,43,0.6,210,221,4
89,42,0.54,250,236,27
84,33,0.51,234,215,13
78,32,0.48,216,181,20
71,30,0.43,226,188,18
110,50,0.67,189,221,22
108,50,0.66,211,262,12
100,43,0.61,221,235,15
99,43,0.6,215,238,19
96,41,0.59,211,213,16
91,38,0.55,223,206,7
68,30,0.41,262,211,30
54,23,0.33,274,161,23
109,51,0.66,201,248,3
104,47,0.63,208,232,14
102,48,0.62,189,229,5
100,46,0.61,201,231,17
99,43,0.6,210,230,25
92,41,0.56,260,261,2
90,39,0.55,227,219,21
109,51,0.66,226,236,6
101,48,0.62,222,242,28
97,45,0.59,216,241,26
95,40,0.58,205,220,8
89,40,0.54,232,228,11
62,24,0.38,283,198,29
56,24,0.34,272,170,24
109,51,0.66,207,249,4
96,45,0.59,193,218,9
94,42,0.57,235,236,13
93,43,0.57,216,231,27
90,38,0.55,240,235,1
88,35,0.54,208,197,20
83,36,0.51,230,207,18
79,34,0.48,267,225,10
117,54,0.71,177,261,16
101,46,0.62,215,240,12
100,46,0.61,204,215,22
93,39,0.57,230,222,15
88,37,0.54,265,236,19
84,38,0.51,256,231,30
66,29,0.4,268,196,7
52,21,0.32,248,157,23
112,52,0.68,220,250,21
111,52,0.68,191,248,3
107,46,0.65,220,267,5
98,43,0.6,206,207,17
91,40,0.55,228,235,2
88,38,0.54,242,216,14
84,37,0.51,237,227,25
116,54,0.71,209,266,6
111,51,0.68,200,249,11
100,46,0.61,174,206,8
83,36,0.51,223,196,28
77,35,0.47,241,209,26
67,29,0.41,270,203,29
77,36,0.8,102,155,5
60,29,0.62,115,129,3
56,24,0.58,115,124,15
55,24,0.57,119,120,27
41,16,0.43,139,111,14
72,36,0.75,119,165,4
56,26,0.58,112,130,9
55,24,0.57,139,139,10
49,23,0.51,141,133,13
48,19,0.5,129,112,20
66,30,0.69,118,140,6
59,27,0.61,118,133,8
57,25,0.59,116,124,11
48,22,0.5,142,130,2
63,29,0.66,126,149,22
62,28,0.65,109,131,16
57,26,0.59,133,145,30
56,25,0.58,104,116,19
48,21,0.5,143,125,23
59,26,0.61,121,127,28
55,26,0.57,127,122,17
45,19,0.47,134,125,29
42,19,0.44,160,128,26
39,16,0.41,152,116,21
57,27,0.59,130,149,1
51,24,0.53,144,128,25
42,19,0.44,160,128,18
40,18,0.42,150,148,12
36,15,0.38,171,112,7
109,51,0.66,207,249,15
96,45,0.59,193,218,1
94,42,0.57,235,236,24
93,43,0.57,216,231,23
90,38,0.55,240,235,9
88,35,0.54,208,197,25
83,36,0.51,230,207,26
79,34,0.48,267,225,10
117,54,0.71,177,261,17
101,46,0.62,215,240,5
100,46,0.61,204,215,2
93,39,0.57,230,222,12
88,37,0.54,265,236,13
84,38,0.51,256,231,27
